"","Date_UTC","ClickTime_UTC","clickDepth_m","fit_line","lwr_CI_99","upr_CI_99"
"110","2016-07-03","2016-07-03_19:02:18.328",1007.54663972389,942.60636437413,932.968325055906,952.244403692353
"111","2016-07-03","2016-07-03_19:02:18.845",1011.12775578801,942.80890733627,933.182545360629,952.43526931191
"112","2016-07-03","2016-07-03_19:02:27.703",949.10514056116,946.021415542791,936.527482163819,955.515348921764
"113","2016-07-03","2016-07-03_19:02:28.250",987.889380586633,946.207443739017,936.717147287553,955.69774019048
"114","2016-07-03","2016-07-03_19:02:36.924",976.403823751069,949.06781015812,939.564016189838,958.571604126401
"115","2016-07-03","2016-07-03_19:02:39.644",964.794407434283,949.956287187833,940.423224904848,959.489349470817
"116","2016-07-03","2016-07-03_19:02:40.798",966.7670671671,950.335988509636,940.787520420193,959.884456599078
"117","2016-07-03","2016-07-03_19:02:41.404",983.928772939708,950.536376128929,940.97917657155,960.093575686308
"118","2016-07-03","2016-07-03_19:02:45.780",950.750117850591,952.01321912334,942.382146733811,961.64429151287
"119","2016-07-03","2016-07-03_19:03:03.496",956.619465028066,959.156946516787,949.216743358379,969.097149675195
"120","2016-07-03","2016-07-03_19:03:04.019",942.597437860428,959.411514308698,949.466763182566,969.356265434831
"121","2016-07-03","2016-07-03_19:03:04.568",928.550958313857,959.682215639701,949.733218641444,969.631212637958
"122","2016-07-03","2016-07-03_19:03:05.119",928.550958313857,959.957554762473,950.004860791035,969.910248733911
"123","2016-07-03","2016-07-03_19:03:05.805",930.676013122309,960.305574627327,950.349099008087,970.262050246567
"124","2016-07-03","2016-07-03_19:03:06.348",913.675913415399,960.58523736328,950.626438025816,970.544036700744
"125","2016-07-03","2016-07-03_19:03:07.382",929.61348420577,961.106345033057,951.145480756862,971.067209309252
"126","2016-07-03","2016-07-03_19:03:07.898",902.709340859767,961.355403912769,951.394804476117,971.316003349422
"127","2016-07-03","2016-07-03_19:03:09.710",914.059060831775,962.174749969517,952.221451494891,972.128048444144
"128","2016-07-03","2016-07-03_19:03:10.249",914.059060831775,962.402569913324,952.45323338366,972.351906442987
"129","2016-07-03","2016-07-03_19:03:12.539",925.431760225175,963.294932399195,953.370508847657,973.219355950734
"130","2016-07-03","2016-07-03_19:03:13.230",897.548949130003,963.541563552792,953.626958687833,973.456168417751
"131","2016-07-03","2016-07-03_19:03:13.760",923.906515883105,963.724053963568,953.817617493315,973.630490433821
"132","2016-07-03","2016-07-03_19:03:14.282",940.408221400301,963.898307174178,954.00042019715,973.796194151207
"133","2016-07-03","2016-07-03_19:03:14.890",939.376842453679,964.09462752571,954.207285937907,973.981969113513
"134","2016-07-03","2016-07-03_19:03:15.489",921.843856337733,964.281292190779,954.404909989505,974.157674392053
"135","2016-07-03","2016-07-03_19:03:16.082",936.282723495265,964.45973153962,954.594707444405,974.324755634834
"136","2016-07-03","2016-07-03_19:03:17.236",909.622581554423,964.789759266491,954.948107491458,974.631411041523
"137","2016-07-03","2016-07-03_19:03:21.989",933.915205431913,965.944126253003,956.209559313623,975.678693192384
"138","2016-07-03","2016-07-03_19:03:24.944",929.926074872678,966.534179623465,956.867794157384,976.200565089545
"139","2016-07-03","2016-07-03_19:03:27.984",939.363278784477,967.076558404445,957.47541961524,976.67769719365
"140","2016-07-03","2016-07-03_19:03:32.450",966.975677247438,967.821535247126,958.29874290893,977.344327585323
"141","2016-07-03","2016-07-03_19:03:43.042",965.445657317575,969.894073249273,960.442959051978,979.345187446569
"142","2016-07-03","2016-07-03_19:03:43.532",978.271547101979,970.016511246582,960.565023550165,979.467998943
"143","2016-07-03","2016-07-03_19:03:46.418",940.686112296251,970.811337293779,961.353016087759,980.269658499799
"144","2016-07-03","2016-07-03_19:03:47.523",954.104243120269,971.152798285898,961.690217563095,980.6153790087
"145","2016-07-03","2016-07-03_19:03:48.073",965.616985239816,971.331211947335,961.866275739923,980.796148154747
"146","2016-07-03","2016-07-03_19:03:48.638",974.251815427562,971.520611153731,962.053130016901,980.988092290561
"147","2016-07-03","2016-07-03_19:03:49.190",983.846346237374,971.711838742609,962.241777233341,981.181900251877
"148","2016-07-03","2016-07-03_19:03:49.747",981.927416913653,971.911193820924,962.438463701668,981.383923940179
"149","2016-07-03","2016-07-03_19:03:50.270",984.805815242037,972.104404378888,962.629135807826,981.57967294995
"150","2016-07-03","2016-07-03_19:03:51.049",974.251815427562,972.403366753921,962.924313617599,981.882419890244
"151","2016-07-03","2016-07-03_19:03:51.667",961.779358209801,972.650373277548,963.168363833308,982.132382721787
"152","2016-07-03","2016-07-03_19:03:57.142",1017.01486323004,975.262429821223,965.762870858074,984.761988784373
"153","2016-07-03","2016-07-03_19:03:59.019",993.973265052491,976.354266934086,966.855467655108,985.853066213064
"154","2016-07-03","2016-07-03_19:03:59.801",1004.53378754698,976.841971322431,967.344966840654,986.338975804208
"155","2016-07-03","2016-07-03_19:04:00.486",1013.17447938259,977.285684702367,967.7910461491,986.780323255634
"156","2016-07-03","2016-07-03_19:04:01.164",1025.6558987079,977.733549054673,968.242240220536,987.224857888809
"157","2016-07-03","2016-07-03_19:04:01.989",1023.73564804192,978.281033569628,968.795380482854,987.766686656401
